serial_no,height,fold,temp_2023,temp_2022,temp_2021,temp_avg,Pop_500,Green_400,Ag_500,Trans_5000,Resi_100,Comm_400,Ind_1100,Cul_2500,Pub_4700,GFA_5000,BCR,SD_H,Altitude,Slope,Longitude,Latitude,Solar_radi
V02Q1940780,1.0,4.0,26.9203703704,26.2397615656,27.0820960136,26.7474093165,589,63975,0,4572700,0,157500,0,247000,1725850,85669300.0,5.15768003464,14.1107997894,31.1919994354,1.08482003212,126.975981,37.5646989,500.045013428
V02Q1940935,0.0,7.0,28.6200628307,27.2691987179,28.2928917379,28.0607177622,589,63975,0,4572700,0,157500,0,247000,1725850,85669300.0,5.15768003464,14.1107997894,30.2996997833,1.08482003212,126.975981,37.5648,500.045013428
OC3CL200127,6.0,20.0,26.578377425,25.7227297009,26.3650121676,26.2220397645,1604,20925,0,4802700,0,230425,0,241275,1715200,84215600.0,1.22996997833,0.0,36.8166999817,0.464267998934,126.975354,37.56027699,499.186004639
OC3CL200041,4.5,10.0,27.3966605334,26.1148252442,26.6459470776,26.7191442851,422,5675,0,4743225,0,255200,0,282975,1762550,85748300.0,41.9664001465,5.76736021042,30.1574001312,0.916647017002,126.9818665,37.56384606,498.837005615
V02Q1940277,3.5,2.0,27.4194179894,26.6559738333,27.3572573877,27.1442164035,26088,0,0,4112875,33125,23650,0,54275,1356800,63436400.0,53.506401062,4.21687984467,27.8777008057,3.09728002548,127.0942268,37.59114395,500.436004639
V02Q1940248,2.8,19.0,27.5586926808,26.8015593511,27.4599679487,27.2734066602,23154,12600,0,4109325,28975,46025,0,38825,1256675,57602500.0,48.2406997681,4.83628988266,23.9442996979,0.597764015198,127.1007979,37.60115106,500.62600708
V02Q1940250,3.9,12.0,27.6725059354,26.9392555901,27.7727133784,27.4614916347,26439,4475,0,4254125,30925,27875,7000,96850,1838900,71232000.0,48.9702987671,5.39890003204,14.0419998169,0.256063997746,127.0808924,37.589051,499.259002686
V02Q1940252,3.0,18.0,27.6542438272,26.7894041761,27.5586862135,27.3341114056,26441,44050,0,4457650,27925,25500,0,45575,1785125,75452900.0,52.4976997375,3.72302007675,30.7733001709,6.57516002655,127.0861478,37.57581922,492.420013428
V02Q1940191,3.8,13.0,27.673583469,26.8530279674,27.622507955,27.3830397971,25142,31925,0,4270725,34200,20725,7000,99725,1840025,74413100.0,47.0192985535,5.3562297821,12.9050998688,0.0734660029411,127.0790205,37.58540801,499.029998779
V02Q1940195,3.8,15.0,27.4996759259,26.8124210859,27.39088168,27.2343262306,28221,0,0,4457925,13900,78600,0,51175,1771875,74034400.0,43.5825004578,3.82971000671,20.5746002197,2.74996995926,127.0863244,37.57867312,495.785003662
V02Q1940225,3.9,14.0,27.807650463,27.1097764967,27.8762183804,27.59788178,29524,3075,0,4260700,31725,53050,0,43200,1658375,67767000.0,47.1319007874,4.36987018585,22.7875003815,1.3424500227,127.0883832,37.58597736,498.997009277
V02Q1940218,3.8,2.0,27.5810262346,26.8343503179,27.4550208356,27.2901324627,25347,39575,0,3937825,41575,10875,0,78875,1721750,72086000.0,38.2789001465,4.23774003983,16.2516002655,0.131815999746,127.076301,37.60984943,499.95098877
V02Q1940241,4.1,4.0,27.3281313382,26.9036862983,27.6243817988,27.2853998117,28828,0,1750,4114950,41175,20075,0,58100,1428450,67693000.0,50.5630989075,4.19261980057,26.8234996796,1.52028000355,127.0870729,37.59998915,500.894012451
